pageName,question,answer,time,version,score,key,delta,participant
T1_S1_C1,qID-0,Continue,2024-12-08 20:32:58.523,A,1.0,Continue,97.7,pD
T1_S1_C1,qID-11,No,2024-12-08 20:33:06.192,A,3.0,No,7.669,pD
T1_S1_C1,qID-3,No,2024-12-08 20:33:40.711,A,1.0,No,34.519,pD
T1_S1_C1,qID-2,Yes,2024-12-08 20:34:07.423,A,1.0,Yes,26.712,pD
T1_S1_IN2,qID-0,Continue,2024-12-08 20:34:58.996,A,1.0,Continue,51.573,pD
T1_S1_IN2,qID-11,Yes,2024-12-08 20:35:03.996,A,1.0,Yes,5.0,pD
T1_S1_IN2,qID-12,Step 5,2024-12-08 20:35:25.026,A,1.0,Step 5,21.03,pD
T1_S1_IN2,qID-13,Open-ended Incorrect,2024-12-08 20:37:37.528,A,0.0,Open-ended Correct,132.502,pD
T1_S1_IN2,qID-1,Yes,2024-12-08 20:37:57.708,A,1.0,Yes,20.18,pD
T1_S1_IN2,qID-2,No,2024-12-08 20:38:19.027,A,1.0,No,21.319,pD
T1_S1_IN3,qID-0,Continue,2024-12-08 20:39:06.592,A,1.0,Continue,47.565,pD
T1_S1_IN3,qID-11,No,2024-12-08 20:39:13.457,A,0.0,Yes,6.865,pD
T1_S1_IN3,qID-3,Yes,2024-12-08 20:39:43.356,A,1.0,Yes,29.899,pD
T1_S1_C2,qID-0,Continue,2024-12-08 20:40:44.510,A,1.0,Continue,61.154,pD
T1_S1_C2,qID-11,No,2024-12-08 20:40:46.508,A,3.0,No,1.998,pD
T1_S1_C2,qID-3,Yes,2024-12-08 20:41:11.614,A,1.0,Yes,25.106,pD
T1_S1_C2,qID-4,Yes,2024-12-08 20:41:30.806,A,1.0,Yes,19.192,pD
T1_S2_C2,qID-0,Continue,2024-12-08 20:42:25.911,A,1.0,Continue,55.105,pD
T1_S2_C2,qID-11,No,2024-12-08 20:42:28.376,A,3.0,No,2.465,pD
T1_S2_C2,qID-2,No,2024-12-08 20:43:00.973,A,1.0,No,32.597,pD
T1_S2_C2,qID-1,No,2024-12-08 20:43:16.758,A,1.0,No,15.785,pD
T1_S2_IN1,qID-0,Continue,2024-12-08 20:44:37.526,A,1.0,Continue,80.768,pD
T1_S2_IN1,qID-11,Yes,2024-12-08 20:44:40.874,A,1.0,Yes,3.348,pD
T1_S2_IN1,qID-12,Step 8,2024-12-08 20:44:58.177,A,1.0,Step 8,17.303,pD
T1_S2_IN1,qID-13,Open-ended Correct,2024-12-08 20:46:07.839,A,1.0,Open-ended Correct,69.662,pD
T1_S2_IN1,qID-2,No,2024-12-08 20:46:28.858,A,1.0,No,21.019,pD
T1_S2_IN2,qID-0,Continue,2024-12-08 20:47:50.189,A,1.0,Continue,81.331,pD
T1_S2_IN2,qID-11,Yes,2024-12-08 20:47:53.556,A,1.0,Yes,3.367,pD
T1_S2_IN2,qID-12,Step 7,2024-12-08 20:47:59.775,A,1.0,Step 7,6.219,pD
T1_S2_IN2,qID-13,Open-ended Correct,2024-12-08 20:48:24.993,A,1.0,Open-ended Correct,25.218,pD
T1_S2_IN2,qID-2,No,2024-12-08 20:49:07.409,A,1.0,No,42.416,pD
T1_S2_IN2,qID-1,No,2024-12-08 20:49:53.139,A,1.0,No,45.73,pD
SUS,7,1,2024-12-08 20:52:12.040,undefined,,,138.901,pD
SUS,6,4,2024-12-08 20:52:12.040,undefined,,,0.0,pD
SUS,5,2,2024-12-08 20:52:12.040,undefined,,,0.0,pD
SUS,4,3,2024-12-08 20:52:12.040,undefined,,,0.0,pD
SUS,1,2,2024-12-08 20:52:12.040,undefined,,,0.0,pD
SUS,2,4,2024-12-08 20:52:12.040,undefined,,,0.0,pD
SUS,0,3,2024-12-08 20:52:12.040,undefined,,,0.0,pD
SUS,3,2,2024-12-08 20:52:12.040,undefined,,,0.0,pD
SUS,8,4,2024-12-08 20:52:12.041,undefined,,,0.001,pD
SUS,9,1,2024-12-08 20:52:12.041,undefined,,,0.0,pD
