pageName,question,answer,time,version,score,key,delta,participant
T1_S1_IN2,qID-12,Step 5,2024-12-05 01:45:16.261,A,1.0,Step 5,58.924,pA
T1_S1_IN2,qID-13,Open-ended Correct,2024-12-05 01:46:06.193,A,1.0,Open-ended Correct,49.932,pA
T1_S1_IN2,qID-1,Yes,2024-12-05 01:46:58.481,A,1.0,Yes,52.288,pA
T1_S1_IN2,qID-2,No,2024-12-05 01:47:22.706,A,1.0,No,24.225,pA
T1_S1_IN3,qID-0,Continue,2024-12-05 01:48:53.866,A,1.0,Continue,91.16,pA
T1_S1_IN3,qID-11,No,2024-12-05 01:49:04.214,A,0.0,Yes,10.348,pA
T1_S1_IN3,qID-13,Open-ended Correct,2024-12-05 01:49:07.252,A,1.0,Open-ended Correct,3.038,pA
T1_S1_IN3,qID-3,Yes,2024-12-05 01:49:18.549,A,1.0,Yes,11.297,pA
T1_S2_IN1,qID-0,Continue,2024-12-05 01:51:19.651,A,1.0,Continue,121.102,pA
T1_S2_IN1,qID-11,Yes,2024-12-05 01:51:22.617,A,1.0,Yes,2.966,pA
T1_S2_IN1,qID-12,Step 8,2024-12-05 01:51:29.570,A,1.0,Step 8,6.953,pA
T1_S2_IN1,qID-13,Open-ended Incorrect,2024-12-05 01:54:42.164,A,0.0,Open-ended Correct,192.594,pA
T1_S2_IN1,qID-2,No,2024-12-05 01:54:54.459,A,1.0,No,12.295,pA
T1_S2_C2,qID-0,Continue,2024-12-05 01:54:57.994,A,1.0,Continue,3.535,pA
T1_S2_C2,qID-11,No,2024-12-05 01:56:54.430,A,3.0,No,116.436,pA
T1_S2_C2,qID-13,Open-ended Correct,2024-12-05 01:56:56.309,A,0.0,,1.879,pA
T1_S2_C2,qID-1,No,2024-12-05 01:57:30.602,A,1.0,No,34.293,pA
T1_S2_C2,qID-2,No,2024-12-05 01:57:58.871,A,1.0,No,28.269,pA
T1_S2_IN2,qID-0,Continue,2024-12-05 01:59:47.556,A,1.0,Continue,108.685,pA
T1_S2_IN2,qID-11,Yes,2024-12-05 01:59:49.543,A,1.0,Yes,1.987,pA
T1_S2_IN2,qID-12,Step 7,2024-12-05 01:59:59.894,A,1.0,Step 7,10.351,pA
T1_S2_IN2,qID-13,Open-ended Correct,2024-12-05 02:00:16.242,A,1.0,Open-ended Correct,16.348,pA
T1_S2_IN2,qID-2,No,2024-12-05 02:00:37.721,A,1.0,No,21.479,pA
T1_S2_IN2,qID-1,No,2024-12-05 02:01:26.089,A,1.0,No,48.368,pA
SUS,7,2,2024-12-05 02:02:42.950,undefined,,,76.861,pA
SUS,6,4,2024-12-05 02:02:42.950,undefined,,,0.0,pA
SUS,5,1,2024-12-05 02:02:42.950,undefined,,,0.0,pA
SUS,4,4,2024-12-05 02:02:42.950,undefined,,,0.0,pA
SUS,0,4,2024-12-05 02:02:42.950,undefined,,,0.0,pA
SUS,2,4,2024-12-05 02:02:42.950,undefined,,,0.0,pA
SUS,1,2,2024-12-05 02:02:42.950,undefined,,,0.0,pA
SUS,8,5,2024-12-05 02:02:42.950,undefined,,,0.0,pA
SUS,3,2,2024-12-05 02:02:42.950,undefined,,,0.0,pA
SUS,9,2,2024-12-05 02:02:42.950,undefined,,,0.0,pA
