pageName,question,answer,time,version,score,key,delta,participant
TutorialProof2,qID-1,No,2024-12-15 00:24:42.907,B,,,50.82,eagle
T1_S1_C1,qID-0,Continue,2024-12-15 00:28:39.973,B,1.0,Continue,237.066,eagle
T1_S1_C1,qID-11,No,2024-12-15 00:29:57.348,B,3.0,No,77.375,eagle
T1_S1_C1,qID-2,Yes,2024-12-15 00:30:23.145,B,1.0,Yes,25.797,eagle
T1_S1_C1,qID-3,Yes,2024-12-15 00:30:46.405,B,0.0,No,23.26,eagle
T1_S1_C2,qID-0,Continue,2024-12-15 00:37:38.317,B,1.0,Continue,411.912,eagle
T1_S1_C2,qID-11,Yes,2024-12-15 00:38:07.381,B,0.0,No,29.064,eagle
T1_S1_C2,qID-12,Step 8,2024-12-15 00:39:17.341,B,0.0,,69.96,eagle
T1_S1_C2,qID-13,Open-ended Incorrect,2024-12-15 00:39:25.344,B,0.0,,8.003,eagle
T1_S1_IN3,qID-0,Continue,2024-12-15 00:41:37.292,B,1.0,Continue,131.948,eagle
T1_S1_IN3,qID-11,No,2024-12-15 00:41:47.915,B,0.0,Yes,10.623,eagle
T1_S1_IN3,qID-3,Yes,2024-12-15 00:42:03.337,B,1.0,Yes,15.422,eagle
T1_S1_IN2,qID-0,Continue,2024-12-15 00:43:40.225,B,1.0,Continue,96.888,eagle
T1_S1_IN2,qID-11,No,2024-12-15 00:43:42.526,B,0.0,Yes,2.301,eagle
T1_S1_IN2,qID-1,Yes,2024-12-15 00:44:08.944,B,1.0,Yes,26.418,eagle
T1_S1_IN2,qID-2,No,2024-12-15 00:44:53.943,B,1.0,No,44.999,eagle
T1_S1_IN1,qID-0,Continue,2024-12-15 00:46:55.380,B,1.0,Continue,121.437,eagle
T1_S1_IN1,qID-11,No,2024-12-15 00:46:57.060,B,0.0,Yes,1.68,eagle
T1_S1_IN1,qID-2,Yes,2024-12-15 00:47:36.265,B,0.0,No,39.205,eagle
T1_S1_IN1,qID-3,Yes,2024-12-15 00:48:08.496,B,0.0,No,32.231,eagle
T1_S2_IN1,qID-0,Continue,2024-12-15 00:51:19.067,B,1.0,Continue,190.571,eagle
T1_S2_IN1,qID-11,No,2024-12-15 00:51:21.526,B,0.0,Yes,2.459,eagle
T1_S2_IN1,qID-2,Yes,2024-12-15 00:51:35.786,B,0.0,No,14.26,eagle
T1_S2_IN2,qID-0,Continue,2024-12-15 00:54:09.565,B,1.0,Continue,153.779,eagle
T1_S2_IN2,qID-11,No,2024-12-15 00:54:11.407,B,0.0,Yes,1.842,eagle
T1_S2_IN2,qID-2,Yes,2024-12-15 00:54:27.361,B,0.0,No,15.954,eagle
T1_S2_IN2,qID-1,Yes,2024-12-15 00:55:07.352,B,0.0,No,39.991,eagle
T1_S2_C2,qID-0,Continue,2024-12-15 00:58:05.293,B,1.0,Continue,177.941,eagle
T1_S2_C2,qID-11,No,2024-12-15 00:58:07.213,B,3.0,No,1.92,eagle
T1_S2_C2,qID-1,Yes,2024-12-15 00:58:40.295,B,0.0,No,33.082,eagle
T1_S2_C2,qID-2,Yes,2024-12-15 00:58:54.233,B,0.0,No,13.938,eagle
SUS,0,5,2024-12-15 01:00:10.004,undefined,,,75.771,eagle
SUS,1,1,2024-12-15 01:00:10.004,undefined,,,0.0,eagle
SUS,2,5,2024-12-15 01:00:10.004,undefined,,,0.0,eagle
SUS,3,1,2024-12-15 01:00:10.004,undefined,,,0.0,eagle
SUS,4,5,2024-12-15 01:00:10.004,undefined,,,0.0,eagle
SUS,5,1,2024-12-15 01:00:10.004,undefined,,,0.0,eagle
SUS,6,5,2024-12-15 01:00:10.004,undefined,,,0.0,eagle
SUS,7,1,2024-12-15 01:00:10.005,undefined,,,0.001,eagle
SUS,8,5,2024-12-15 01:00:10.005,undefined,,,0.0,eagle
SUS,9,1,2024-12-15 01:00:10.005,undefined,,,0.0,eagle
